Category,ProcessedText,SpeakerDialect
درامي,هي قالت لي بلسانها انه انا فتشتها,Egyptian
كوميدي,عبي عبي عبي شوية,Najdi
كوميدي,والله اعتقد اخوي هذا اللي واقف قدامي انسان مو شذي,Najdi
كوميدي,اقول لك ما عندي تقولي شو يوديني العصر الحين,Khaliji
درامي,ما عليش يمه انا اليوم مشغول,Khaliji
اطفال,انا اسف يا ام مناحي لا يا بابا فرحان,Hijazi
درامي,يلا يا نوران اقول الحين عاد البسطي هذي جدك وجينا عندك يلا انبسطي ه,Hijazi
درامي,انتوا كل يوم تعملون الزفة على الغدا,Khaliji
اطفال,وصلت لحل ممكن نبتدي بيه,Hijazi
كوميدي,حنا نبي نقفل المحضر بناء على اقوالك عاد الله يعينك تراجع المحكمة الخارجية لاستكمال باقي الاجراءات بالاضافة الى مراجعة الجهات المختصة لاصدار المفقودات اللي عندك,Hijazi
اطفال,الى الحمام يا سمور,Hijazi
كوميدي,غير واضح تعال تعال تعال تعال عطني صحن السلطة هذي دامك واقف كذه السلطة,Hijazi
اطفال,غيرواضح ها ايش في تاني يلي صارت شغلتك في الحياة انك انتي تغيري مني و تنتقدي تصرفاتي عشان انا صرت زوجة وانتي لسا,Hijazi
درامي,جاي ت تبيني اساعدها واظهر ولدها,Najdi
كوميدي,ام ماشي,Egyptian
اطفال,مستحيل كيف حدث هذا,Egyptian
اطفال,امشي خلصيني اووه,Hijazi
درامي,ليش سويت كذا,Najdi
اطفال,انا حاولت ما في فايدة قلت اجي لك بسرعة علاشان نشوف حل حل,Hijazi
درامي,فايزة فايزة انا مستعد ابيع عمري كله ولا اشوفك عايشة في عذاب,Khaliji
كوميدي,يا ولد شوف الاول واحد عليسار حرام بالله يا دار الله مع سلم يا رجال ما عاد عزيزة شفيع الحبيب الحقيقة انا رجال ما احب المشاكل,Najdi
كوميدي,وهذا هو الموضوع اللي يبيك فيه انا يا وضحة ايش رايك يريحك منذ التعب والغثا اللي قاعد يصير لك واحقق لك كل اهدافك وطموحاتك,Khaliji
كوميدي,البضاعة دي قيمته ربع مليون جنيه يعني لو دبحتكم انتوا التلاتة وقطعتوكم عملتكم لحمة وعملت منكم مفروم مش حجيبوا ربع القيمة حتى بالهدوم اللي انتوا لابسنها,Egyptian
كوميدي,اجل طيعوا شوري خذوا خيمة من عندي واقعدوا فيها وارفضوا,Najdi
كوميدي,افا والله يا ولد ابو صالح كبيرة ذي,Hijazi
درامي,فيك الخير يا ولدي فيك الخير وماجور ان شاء الله,Hijazi
كوميدي,والله الظاهر ان بانوشنا عدل وكلنا مضبوطين لكن في ويه ويه نحس يا ولد شيرة ويانا,Najdi
كوميدي,يعني قصدك نتفق عليهم و نخلي كلمتنا وحدة,Khaliji
كوميدي,انا اعطي زيادة خمسة ريال ونزل اسطوانة,Najdi
كوميدي,اسال عمرالشريف قعد اد ايه في الجبال فهم فانت تروح تقعد في الجبل لغاية ما تبقى نجم انا هعملك فيلم اسمه بطل الجبل,Egyptian
كوميدي,لا يا ناصر من جد يا اخي وش فيها الشنطة الكبيرة اللي ورا,Najdi
كوميدي,ما راح اطلق لين اعرف السبب واقتنع فيه واللي تبين تسوينه سويه والحين يلا,Najdi
درامي,شنو علته,Najdi
كوميدي,وذا الجني ذا,Khaliji
كوميدي,الظاهر ان عيونك يبغالها فحص خصوصي مرة ثانية في المستشفى يا ولد شيرة,Khaliji
اطفال,في خطر,Hijazi
كوميدي,تعالوا احضرونا يا امي,Hijazi
كوميدي,لا تقعد تناظر يا روه والحركات قديمة رقبتي لا يا شيخ اهدى من كذا اركب بديت العب العب اخوي,Khaliji
كوميدي,ضياع طفلة من اهلها,Khaliji
درامي,بس ياعيالي هذا الكلام ما يصير الحين اللي فات مات,Khaliji
اطفال,ما قلتلك ناسبه انا قلتلك اشتغل معاه يعني شوف ايش يسوي واعمل زيه وبعد كدة انت تروحين لحالك وهو يروح لحاله,Egyptian
كوميدي,طيب طيب ما شاء الله عليك,Hijazi
كوميدي,شلون كان يناظرني,Najdi
كوميدي,ايوه خل انام خل انام هيلة,Najdi
كوميدي,عطنا ورق عطنا ورق,Khaliji
كوميدي,افا افا حتى انت يا خالي,Khaliji
درامي,قلتلي على ايش يا حامد,Hijazi
اطفال,ايوا يا ست انا بس بس هذي اول غلطة وانا ما,Hijazi
درامي,سارة انتي تبكين,Khaliji
اطفال,حاضر يا جدي,Hijazi
درامي,احنا شعلينا منهم احنا ما نبي بنتنا تروح وبس الله يهديك,Khaliji
درامي,اطمني يا حبيبتي,Egyptian
كوميدي,يلا خلوه اطلعوا برا بس انتظرونا شوية ان شاء الله ان شاء الله,Egyptian
اطفال,ان شاء الله يا عمه ان شاء الله باذن الله اقول يا عواد يا ولد عمي اي ليش ما تجي معي,Najdi
اطفال,صحيح هالكلام اللي بيقوله علاء الدين,Najdi
كوميدي,ايه اخ صالح بس شنو ديني الوكيل بعدين بيني وبينك انا ما ودي ازعج ام خالد,Najdi
درامي,انا اسفة,Khaliji
كوميدي,هذا ابو ابو هزار,Najdi
اطفال,مش بعيد اخوك يروح يقول له بنفسه,Hijazi
كوميدي,منو منو يبا منو منو,Khaliji
درامي,المبدل المبدل الله يطولي في عمرش ولا يبدل في ايامش السعيدة,Najdi
كوميدي,اسمرين حزان تسمرين حزان تخفين الدموع كم قضيت الليل كم قضيت الليل,Khaliji
اطفال,لا تخلي كل شيء على سماعة النباتات والمادة اللي كانت موجودة فيها غيرواضح سبحانه وتعالى اعطانا عقل علشان نفكر بيه ونميز الصح من الغلط ارجوك يامنظم اسمع ياودود,Hijazi
درامي,ويعقبه على العمال وسير صايح عليهم انهم يفسدون السميد وينثرون الماي و البطحة والطوب,Khaliji
درامي,انا الحمد لله,Hijazi
درامي,اي زعلان انا عليكم وليه ما باركتوا لي يوم ما افوز بالسباق لزوم تباركون لي ها,Najdi
درامي,البارح بس خلصت الامتحانات وجيت اجري على هنا على طول,Khaliji
درامي,اللي خلاني اكتشف الناس,Najdi
كوميدي,قصدي ايه ايه بكم,Khaliji
كوميدي,احنا ببعرضك يا باشا معلم,Khaliji
اطفال,فين كنت وانت مالك,Hijazi
درامي,هذول بيني وبينهم عشرة عمر طويلة عشت معهم,Najdi
كوميدي,ايه رايكو بقى ما ما تيجو نلعب كعابة و واذا طلعت ع الخط انا ما عنديش مانع ها,Egyptian
كوميدي,ما هي بسيطة,Najdi
كوميدي,والله لو تطلبيني قوات الامن الخاصة,Egyptian
اطفال,حق ايه يا شهبور انت مالك حق,Hijazi
درامي,ممتاز انتهى الموضوع,Hijazi
كوميدي,طيب يا زيرو ون وش اول درس بتعطينا اياه عشان ها نحس ان عيالنا فهموا علينا وحنا فهمنا عليهم,Najdi
درامي,واقف استنى الموت,Khaliji
درامي,انا قلتها من الاول اخر الزمر طيط,Najdi
درامي,احنا لازم نشوف حل لهالسالفة وقريب,Khaliji
اطفال,ويش رايك في المفاجاة دي,Hijazi
كوميدي,ويش اسمه,Khaliji
كوميدي,غير الزواج,Najdi
درامي,محسوبك مبدل يفهم في النظام تماما,Najdi
كوميدي,نورا نورا,Najdi
درامي,وش تبي من ميزة,Najdi
اطفال,يعني حاجات انسرقت منك في الدولاب تيجي تدور عليها هنا وبعدين انت عارف ايش معنى كلامك ده معنى كلامك ده ان انسرقت في بيتي و معناته اني انا ماني قادر احميك,Hijazi
درامي,ابيك دقيقة بعد اذنك,Khaliji
اطفال,دكتور سليمان دكتور سليمان احنا مستعدين نرجع ثاني مرة المخزن,Khaliji
